,ECO_CODE,values,labels
0,UM-1,1,1_UM-1
1,RnM,2,2_RnM
2,RwD,3,3_RwD
3,REST-H,4,4_REST-H
4,RtM,5,5_RtM
5,RwM,6,6_RwM
6,RnD,7,7_RnD
7,REST-O-U,8,8_REST-O-U
8,RzM,9,9_RzM
9,RnO,10,10_RnO
10,RtO,11,11_RtO
11,HG-1-2,12,12_HG-1-2
12,O-UK-1,13,13_O-UK-1
13,HG-1,14,14_HG-1
14,HG-2,15,15_HG-2
15,VII.1-3,16,16_VII.1-3
16,RvD,17,17_RvD
17,UG-1-2,18,18_UG-1-2
18,O-UP-1,19,19_O-UP-1
19,IV.8-9,20,20_IV.8-9
20,O-UG-1,21,21_O-UG-1
21,UG-2,22,22_UG-2
22,UG-1,23,23_UG-1
23,O-UG-2,24,24_O-UG-2
24,II.1,25,25_II.1
25,II.2,26,26_II.2
26,O-UG-1-2,27,27_O-UG-1-2
27,RtD,28,28_RtD
28,HM-1,29,29_HM-1
29,HA-2,30,30_HA-2
30,HA-1,31,31_HA-1
31,REST-O,32,32_REST-O
32,O-UR-1,33,33_O-UR-1
33,REST-U,34,34_REST-U
34,UR-1,35,35_UR-1
35,RvO,36,36_RvO
36,RvM,37,37_RvM
37,VI.9,38,38_VI.9
38,VI.8,39,39_VI.8
39,V.1-2,40,40_V.1-2
40,UP-1,41,41_UP-1
41,O-UB-1,42,42_O-UB-1
42,HB-5,43,43_HB-5
43,HB-4,44,44_HB-4
44,RwO,45,45_RwO
45,HB-1,46,46_HB-1
46,VI.4,47,47_VI.4
47,HB-3,48,48_HB-3
48,HB-2,49,49_HB-2
49,III.2-3,50,50_III.2-3
50,UB-1,51,51_UB-1
51,VI.2-3,52,52_VI.2-3
52,VII.4,53,53_VII.4
53,RzO,54,54_RzO
54,HP-1,55,55_HP-1
55,RzD,56,56_RzD
56,HR-1,57,57_HR-1
57,I.1,58,58_I.1
58,IX.a,59,59_IX.a
59,UA-1,60,60_UA-1
60,O-UA-2,61,61_O-UA-2
61,O-UA-1,62,62_O-UA-1
62,UA-2,63,63_UA-2
63,VII.3,64,64_VII.3
64,VII.1,65,65_VII.1
65,UB-2,66,66_UB-2
66,UB-3,67,67_UB-3
67,O-UB-2,68,68_O-UB-2
68,O-UB-3,69,69_O-UB-3
69,O-UB-4,70,70_O-UB-4
70,O-UB-5,71,71_O-UB-5
71,UB-4,72,72_UB-4
72,UB-5,73,73_UB-5
