,ECO_CODE,values,labels,rough_code
,HA-2,30,30_HA-2,1
8,RzM,9,9_RzM,102
1,RnM,2,2_RnM,105
2,RwD,3,3_RwD,106
24,II.1,25,25_II.1,111
49,III.2-3,50,50_III.2-3,113
29,HA-2,30,30_HA-2,114
30,HA-1,31,31_HA-1,121
14,HG-2,15,15_HG-2,1201
11,HG-1-2,12,12_HG-1-2,1202
32,O-UR-1,33,33_O-UR-1,1212
51,VI.2-3,52,52_VI.2-3,1231
48,HB-2,49,49_HB-2,1233
38,VI.8,39,39_VI.8,1242
45,HB-1,46,46_HB-1,1244
41,O-UB-1,42,42_O-UB-1,1245
42,HB-5,43,43_HB-5,1246
37,VI.9,38,38_VI.9,1247
3,REST-H,4,4_REST-H,1250
39,V.1-2,40,40_V.1-2,1804
0,UM-1,1,1_UM-1,1807
