,dwl_Qref,dwl_dQ,dwl_dQdh,dikeraisekm_Qref,dikeraisekm_dQ,dikeraisekm_dQdh,labels,cost_sum,nr_stakeholders,FI,msr,area,eco,marker,colour
reference,0,0.678526905492,0.885721546576,0,94,94,reference,0,0,111.972299865,reference,0,0,diamond,#ff0000
dikeraising_AS_smooth,-1,0.678526905492,0.885721546576,0,94,94,dikeraising_AS_smooth,627041344,948,111.972299865,dikeraising,evr,smooth,circle,#ff0000
groynelowering_AS_smooth,-0.0200115898083,0.657435904575,0.865534390102,0,94,94,groynelowering_AS_smooth,32284390,1,111.972299865,groynelowering,evr,smooth,circle,#ffff99
groynelowering_LS_smooth,-0.0184666470436,0.659030515269,0.867022355696,0,94,94,groynelowering_LS_smooth,30308006,1,111.972299865,groynelowering,lrg,smooth,circle,#964B00
minemblowering_AS_smooth,-0.0441211426734,0.638934007831,0.849487028321,3,94,94,minemblowering_AS_smooth,22007565.725,297,111.972299865,minemblowering,evr,smooth,circle,#fdbf6f
minemblowering_LS_smooth,-0.0223351976791,0.659117049803,0.867995558883,3,94,94,minemblowering_LS_smooth,8522925.9375,2,111.972299865,minemblowering,lrg,smooth,circle,#ff7f00
smoothing_AS_natural,-0.0730858991562,0.585555450401,0.78434286822,2,94,94,smoothing_AS_natural,3542587,1200,165.790268501,smoothing,evr,natural,square,#cab2d6
smoothing_AS_smooth,-0.145898879755,0.50769842925,0.70915440825,2,94,94,smoothing_AS_smooth,3542587,1200,69.9442996754,smoothing,evr,smooth,triangle,#cab2d6
smoothing_LS_natural,-0.0293964996036,0.640188301595,0.843760807153,2,94,94,smoothing_LS_natural,2105269.5,2,136.297689696,smoothing,lrg,natural,square,#6a3d9a
smoothing_LS_smooth,-0.0785668463144,0.587711701293,0.79327838008,2,94,94,smoothing_LS_smooth,2105269.5,2,86.0069784298,smoothing,lrg,smooth,triangle,#6a3d9a
sidechannel_AS_natural,-0.174624180483,0.492735891742,0.706115991605,6,94,94,sidechannel_AS_natural,110839518.356,103,114.096850544,sidechannel,evr,natural,square,#33a02c
sidechannel_AS_smooth,-0.214449048519,0.450946529537,0.666585991768,7,94,94,sidechannel_AS_smooth,123042865.034,96,113.434644986,sidechannel,evr,smooth,triangle,#33a02c
sidechannel_LS_natural,-0.0597905405599,0.613765049378,0.822262396159,8,94,94,sidechannel_LS_natural,34352477.8586,2,112.849675861,sidechannel,lrg,natural,square,#b2df8a
sidechannel_LS_smooth,-0.0744310831352,0.597965809855,0.807379437634,7,94,94,sidechannel_LS_smooth,43747194.0289,2,112.563380361,sidechannel,lrg,smooth,triangle,#b2df8a
lowering_AS_natural,-0.871156157549,-0.267165488022,-0.0517790491183,2,28,44,lowering_AS_natural,1740277486.28,1216,145.369097781,lowering,evr,natural,square,#1f78b4
lowering_AS_smooth,-0.939492508286,-0.339686062239,-0.121501313488,1,27,41,lowering_AS_smooth,1740277486.28,1216,84.9660473423,lowering,evr,smooth,triangle,#1f78b4
lowering_LS_natural,-0.382182972191,0.259829808089,0.469682051126,0,94,94,lowering_LS_natural,288175900.788,2,122.806295073,lowering,lrg,natural,square,#a6cee3
lowering_LS_smooth,-0.409959532076,0.230216345024,0.441170605207,0,94,94,lowering_LS_smooth,288175900.788,2,96.1313677957,lowering,lrg,smooth,triangle,#a6cee3
